MQ2,MQ3,MQ135,Humidity,Temperature,Label
29.56,14.83,22.86,55.1,34.6,Layak
29.72,14.83,22.75,55.1,34.6,Layak
29.72,14.83,22.75,55.1,34.6,Layak
29.56,14.77,22.86,55.4,34.5,Layak
29.56,14.83,23.07,55.4,34.4,Layak
29.41,14.77,23.18,55.4,34.4,Layak
28.96,14.77,23.07,55.4,34.4,Layak
28.96,14.71,23.28,55.4,34.4,Layak
29.26,14.77,22.96,55.4,34.5,Layak
29.11,14.71,23.07,55.4,34.5,Layak
29.56,14.83,22.75,55.8,34.5,Layak
29.26,14.71,22.96,55.8,34.5,Layak
29.26,14.71,23.18,55.8,34.4,Layak
29.11,14.77,23.07,55.8,34.4,Layak
29.87,14.83,22.96,55.8,34.4,Layak
29.87,14.95,23.39,55.8,34.3,Layak
29.87,14.77,23.18,55.8,34.3,Layak
29.41,14.71,23.5,55.8,34.2,Layak
29.87,14.83,23.18,55.8,34.2,Layak
29.87,14.83,23.39,55.8,34.2,Layak
29.56,14.71,23.61,55.8,34.1,Layak
29.41,14.71,23.61,56.2,34.1,Layak
29.56,14.71,23.5,56.2,34.1,Layak
29.72,14.83,23.61,56.2,34.1,Layak
29.56,14.71,23.72,56.2,34.1,Layak
29.87,14.71,23.39,56.2,34.1,Layak
29.41,14.77,23.61,56.2,34.0,Layak
28.09,14.83,25.85,56.2,33.9,Layak
28.23,14.95,25.85,56.2,34.0,Layak
27.81,14.83,26.1,56.2,34.0,Layak
28.09,14.95,25.85,56.2,34.1,Layak
27.95,14.89,25.72,56.2,34.1,Layak
27.95,14.83,25.85,56.2,34.1,Layak
27.81,14.89,25.85,56.2,34.1,Layak
27.67,14.77,26.1,56.2,34.2,Layak
27.67,14.83,26.1,56.2,34.1,Layak
27.67,14.89,25.85,56.2,34.1,Layak
27.67,14.89,25.85,56.2,34.1,Layak
27.53,14.89,25.85,56.2,34.1,Layak
27.53,14.83,25.72,56.2,34.1,Layak
27.25,14.77,26.1,56.2,34.1,Layak
27.53,14.89,25.85,56.2,34.1,Layak
27.53,14.83,25.72,56.2,34.1,Layak
27.25,14.77,25.97,56.2,34.1,Layak
27.12,14.77,26.1,56.2,34.1,Layak
27.25,14.83,25.85,56.2,34.1,Layak
27.12,14.71,26.1,56.2,34.1,Layak
27.25,14.71,25.72,56.2,34.1,Layak
27.12,14.36,25.72,56.5,34.1,Layak
27.12,14.71,26.1,56.5,33.9,Layak
27.39,14.83,25.72,56.5,34.0,Layak
27.12,14.83,26.1,56.5,33.9,Layak
27.95,14.71,25.6,56.5,33.9,Layak
26.2,14.47,24.29,56.5,33.9,Layak
26.07,14.53,24.29,56.5,33.9,Layak
26.07,14.53,24.17,56.5,33.9,Layak
26.07,14.53,24.17,56.5,33.9,Layak
26.2,14.59,23.95,56.5,33.9,Layak
25.82,14.36,23.95,56.5,33.8,Layak
26.2,14.42,23.72,56.5,33.9,Layak
26.07,14.53,23.72,56.5,33.8,Layak
26.07,14.53,23.95,56.5,33.8,Layak
26.46,14.59,23.61,56.5,33.8,Layak
26.46,14.65,23.72,56.5,33.8,Layak
25.82,14.36,23.61,56.5,33.8,Layak
25.82,14.36,23.39,56.5,33.5,Layak
25.69,14.3,22.96,56.5,33.8,Layak
25.69,14.13,22.54,56.5,33.8,Layak
24.96,13.96,22.24,56.5,33.8,Layak
24.72,13.9,21.93,56.5,33.9,Layak
23.69,13.35,20.6,56.5,33.8,Layak
23.47,13.3,20.42,56.5,33.7,Layak
23.47,13.35,20.24,56.5,33.7,Layak
22.83,12.98,19.45,56.5,33.6,Layak
22.2,12.78,18.87,56.5,33.6,Layak
21.9,12.78,18.87,56.5,33.6,Layak
24.14,14.13,21.64,56.5,33.7,Layak
23.04,13.09,18.47,56.5,33.7,Layak
24.03,13.9,20.97,56.5,33.7,Layak
24.72,14.36,22.03,56.5,33.7,Layak
25.32,14.42,22.24,56.5,33.8,Layak
25.32,14.47,22.34,56.5,33.7,Layak
25.82,14.53,22.54,56.5,33.8,Layak
26.2,14.59,22.54,56.5,33.8,Layak
26.46,14.59,22.65,56.5,33.8,Layak
26.59,14.59,22.65,56.5,33.8,Layak
26.72,14.59,22.65,56.5,33.9,Layak
26.85,14.59,22.75,56.5,33.8,Layak
26.98,14.59,22.75,56.5,33.8,Layak
26.98,14.59,22.75,56.5,33.8,Layak
26.98,14.59,22.75,56.5,33.8,Layak
26.85,14.59,22.75,56.5,33.8,Layak
26.85,14.59,22.75,56.5,33.7,Layak
26.85,14.59,22.75,56.5,33.7,Layak
26.98,14.59,22.86,56.5,33.7,Layak
26.98,14.59,22.86,56.5,33.7,Layak
26.85,14.59,22.65,56.5,33.7,Layak
26.46,14.59,22.65,56.5,33.7,Layak
26.85,14.53,22.65,56.5,33.7,Layak
26.72,14.53,22.54,56.5,33.7,Layak
26.72,14.53,22.44,56.5,33.7,Layak
26.46,14.42,22.24,56.5,33.7,Layak
26.33,14.36,22.14,56.5,33.7,Layak
26.46,14.36,22.03,56.5,33.7,Layak
26.07,14.24,21.64,56.5,33.7,Layak
26.07,13.68,20.24,56.5,33.8,Layak
24.96,13.84,20.51,56.5,33.8,Layak
24.72,13.62,20.15,56.5,33.8,Layak
24.37,13.68,20.06,56.5,33.8,Layak
25.44,14.24,21.16,56.5,33.8,Layak
25.82,14.3,21.35,56.5,33.8,Layak
26.2,14.36,21.54,56.5,33.8,Layak
26.46,14.42,21.74,56.5,33.9,Layak
26.72,14.47,21.93,56.5,33.9,Layak
26.72,14.47,21.93,56.5,33.9,Layak
26.85,14.47,22.03,56.5,33.9,Layak
26.98,14.42,22.03,56.5,33.9,Layak
27.39,14.59,22.14,56.5,34.1,Layak
27.53,14.59,22.14,56.5,34.1,Layak
27.53,14.59,22.34,56.5,34.1,Layak
27.67,14.53,22.24,56.5,34.1,Layak
27.53,14.59,22.34,56.5,34.1,Layak
27.53,14.59,22.44,56.5,34.1,Layak
27.67,14.65,22.54,56.5,34.1,Layak
27.95,14.71,22.75,56.5,34.3,Layak
28.09,14.71,22.75,56.5,34.3,Layak
27.95,14.65,22.75,56.5,34.3,Layak
27.95,14.59,22.65,56.5,34.3,Layak
28.09,14.59,22.65,56.5,34.3,Layak
24.96,13.41,19.54,56.5,34.5,Layak
27.12,14.53,21.74,56.5,34.4,Layak
27.25,14.47,21.64,56.5,34.5,Layak
27.12,14.42,21.64,56.5,34.4,Layak
27.12,14.42,21.54,56.5,34.5,Layak
27.25,14.47,21.64,56.5,34.5,Layak
27.25,14.53,21.64,56.5,34.4,Layak
27.39,14.53,21.64,56.5,34.4,Layak
27.25,14.53,21.64,56.5,34.4,Layak
27.39,14.59,21.74,56.5,34.4,Layak
27.39,14.59,21.74,56.5,34.4,Layak
27.39,14.59,21.64,56.5,34.5,Layak
27.53,14.59,21.64,56.5,34.5,Layak
27.53,14.59,21.64,56.5,34.5,Layak
27.53,14.59,21.64,56.5,34.5,Layak
27.67,14.65,21.64,56.5,34.5,Layak
27.81,14.65,21.74,56.5,34.5,Layak
27.81,14.65,21.74,56.5,34.5,Layak
27.95,14.65,21.74,56.5,34.5,Layak
27.95,14.71,21.74,56.5,34.5,Layak
28.09,14.71,21.84,56.5,34.5,Layak
